GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3608,389,2807,356,361,116,6,13,317,161,0,10,27,43,90,53,20,31,70,58
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",2331,381,911,225,141,82,11,18,1183,303,0,10,21,33,64,55,11,16,53,54
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3405,297,2710,315,179,111,0,10,410,123,0,10,29,42,77,67,9,16,68,63
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2836,240,1664,229,365,150,0,10,762,264,0,10,8,12,37,37,8,12,29,35
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3049,284,2581,346,135,101,0,10,288,147,0,10,0,10,45,58,0,10,45,58
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2316,602,999,204,800,380,14,25,374,110,0,10,75,51,54,44,29,35,25,26
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1341,172,898,132,214,77,0,10,187,66,0,10,27,29,15,20,0,10,15,20
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",3241,454,2078,302,357,174,0,10,749,301,0,10,0,10,57,54,0,10,57,54
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1692,230,1355,274,180,124,0,10,69,67,0,10,64,78,24,32,19,30,5,8
