"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4444","444","2009","292","2059","541","0","11","33","33","0","11","168","141","175","145","74","125","101","75","1400000US17031010100","Census Tract 101, Cook County, Illinois"
"7197","787","3634","737","2816","827","64","62","121","91","0","15","148","132","414","301","23","38","391","299","1400000US17031010201","Census Tract 102.01, Cook County, Illinois"
"2487","301","1231","321","743","179","0","11","195","142","0","11","285","191","33","39","0","11","33","39","1400000US17031010202","Census Tract 102.02, Cook County, Illinois"
"6413","540","3859","484","1838","441","6","12","359","323","6","13","222","198","123","99","32","36","91","94","1400000US17031010300","Census Tract 103, Cook County, Illinois"
"5411","566","3761","495","1178","556","0","15","295","170","0","15","40","40","137","81","60","58","77","54","1400000US17031010400","Census Tract 104, Cook County, Illinois"
"4081","444","2182","332","1364","279","0","11","211","153","0","11","215","210","109","66","0","11","109","66","1400000US17031010501","Census Tract 105.01, Cook County, Illinois"
"2631","247","1613","192","647","185","9","14","225","100","0","11","58","37","79","56","33","45","46","36","1400000US17031010502","Census Tract 105.02, Cook County, Illinois"
"2047","348","1501","354","151","77","0","11","282","130","0","11","7","11","106","65","8","12","98","64","1400000US17031010503","Census Tract 105.03, Cook County, Illinois"
"6515","745","4004","599","1402","476","0","15","138","92","0","15","663","327","308","261","2","27","306","262","1400000US17031010600","Census Tract 106, Cook County, Illinois"
"3833","361","2307","443","704","237","0","11","452","204","0","11","227","207","143","128","17","23","126","133","1400000US17031010701","Census Tract 107.01, Cook County, Illinois"
"5333","567","3076","508","1226","414","0","15","344","215","0","15","502","274","185","109","0","15","185","109","1400000US17031010702","Census Tract 107.02, Cook County, Illinois"
"4208","461","1424","367","1063","418","0","11","1027","516","0","11","462","383","232","127","24","40","208","120","1400000US17031020100","Census Tract 201, Cook County, Illinois"
"6905","504","4423","613","990","303","0","15","990","278","0","15","309","247","193","128","64","100","129","78","1400000US17031020200","Census Tract 202, Cook County, Illinois"
"5295","407","4231","383","188","110","10","17","703","187","0","15","99","87","64","51","16","23","48","44","1400000US17031020301","Census Tract 203.01, Cook County, Illinois"
"5023","450","3527","422","647","226","44","81","554","305","0","15","45","46","206","149","11","18","195","149","1400000US17031020302","Census Tract 203.02, Cook County, Illinois"
"4551","380","2469","318","1028","376","0","11","738","259","0","11","149","120","167","80","20","30","147","75","1400000US17031020400","Census Tract 204, Cook County, Illinois"
"6545","740","2775","697","979","367","0","15","1922","555","0","15","298","150","571","259","71","84","500","247","1400000US17031020500","Census Tract 205, Cook County, Illinois"
"6130","597","3673","612","628","291","187","226","1401","393","0","15","18","29","223","217","31","35","192","218","1400000US17031020601","Census Tract 206.01, Cook County, Illinois"
"4637","498","2449","547","466","316","0","11","1151","337","0","11","476","274","95","87","0","11","95","87","1400000US17031020602","Census Tract 206.02, Cook County, Illinois"
"1729","180","1272","165","77","63","4","7","275","58","0","11","28","36","73","43","22","30","51","33","1400000US17031020701","Census Tract 207.01, Cook County, Illinois"
"7843","784","4440","776","731","550","0","15","1512","636","0","15","815","882","345","275","100","89","245","232","1400000US17031020702","Census Tract 207.02, Cook County, Illinois"
