Station_ID,Station_Name,Day of Go_live_date,Status
3153,"Thompson & Palmer, Adaire School",6/7/2017,Active
3154,12th & Callowhill,6/7/2017,Active
3155,7th & Fitzwater,9/26/2017,Active
3156,20th & Market,6/8/2017,Active
3157,"8th & Mifflin, Bok Building",6/8/2017,Active
3158,Broad & Passyunk,6/8/2017,Active
3159,38th & Spruce,6/6/2017,Active
3160,38th & Market,6/6/2017,Active
3161,30th Street Station East,6/6/2017,Active
3162,27th & South,6/9/2017,Active
3163,25th & Locust,6/9/2017,Active
3164,12th & Passyunk,9/26/2017,Active
3165,24th & Race SRT,9/27/2017,Active
3166,Frankford & Belgrade,5/9/2018,Active
3167,12th & Chestnut,1/24/2018,Active
3168,20th & Sansom,12/13/2017,Active
3169,2nd & Race,9/27/2017,Active
3170,Grays Ferry & Pemberton,6/5/2017,Active
3181,Crescent Park,6/26/2018,Active
3182,17th & Sansom,10/17/2018,Active
3183,15th & Kitty Hawk,6/19/2018,Active
3184,Health Sciences Drive,11/1/2018,Active
3185,11th & Market,9/28/2018,Active
3186,12th & Normandy,6/19/2018,Active
3187,20th & Race,9/25/2018,Active
3188,"Broad & Pattison, BSL",6/19/2018,Active
3190,17th & Locust,9/14/2018,Active
3192,2nd & Fairmount,8/14/2018,Inactive
3195,18th & JFK Curbside,4/6/2019,Inactive
3196,25th & Diamond,4/18/2019,Active
3197,Broad & Ritner,5/14/2019,Active
3200,Ridge & Master,6/27/2019,Active
3201,16th & Arch,9/10/2019,Active
3202,16th & Chestnut,8/30/2019,Active
3203,18th & Christian,11/7/2019,Active
3204,17th & Green,11/14/2019,Active
3205,17th & JFK,11/23/2019,Active
3206,18th & Chestnut,8/29/2019,Active
3207,34th & Chestnut,5/20/2020,Active
3208,34th & Spruce,10/5/2019,Active
3209,45th & Baltimore,9/11/2019,Active
3210,Broad & Diamond,8/28/2019,Active
3211,Corinthian & Poplar,2/6/2020,Active
3212,Schuylkill Banks Pergola,10/9/2020,Active
3213,Broad & Carpenter,9/16/2020,Inactive
3214,Broad & Cecil B Moore,9/22/2020,Inactive
3226,2nd & Norris,12/24/2020,Active
3233,Race & Franklin,5/14/2021,Active
3234,20th & Cuthbert,5/11/2021,Active
3235,16th & Callowhill,5/19/2021,Active
3236,24th & Pennsylvania,6/1/2021,Active
3237,Broad & Oregon,5/21/2021,Active
3238,6th & S Washington Square,6/1/2021,Active
3240,44th & Haverford,6/25/2021,Active
3241,52nd & Larchwood - Malcolm X Park,6/15/2021,Active
3243,8th & Diamond,7/8/2021,Active
3244,Broad & Carpenter,7/15/2021,Active
3245,Broad & Cecil B Moore,9/21/2021,Active
3246,50th & Baltimore,7/27/2021,Active
3247,47th & Aspen - Lucien Blackwell,7/21/2021,Active
3248,24th & Christian,8/2/2021,Active
3249,34th & Arch,8/16/2021,Active
3250,4th & Wood,9/28/2021,Active
3251,29th & Tasker,8/17/2021,Active
3252,30th & Oakford,8/23/2021,Active
3253,27th & Morris - Vare Recreation Center,8/31/2021,Active
3254,16th & Montgomery,9/22/2021,Active
3255,Broad & Chestnut,9/2/2021,Active
3256,23rd & Chestnut,9/21/2021,Active
3257,2nd & Snyder,10/19/2021,Active
3258,52nd & Chestnut,10/23/2021,Active
3259,Saunders & Pearl,11/5/2021,Active
3261,2nd & Brown,12/2/2021,Active
3263,43rd & Powelton,2/23/2022,Active
3265,Powelton & Lancaster,3/31/2022,Active
3266,Water & Mifflin,2/15/2022,Active
3267,19th & Oregon,2/17/2022,Active
3271,53rd & Baltimore,3/3/2022,Active
3272,50th & Haverford,3/11/2022,Active
